ticker,date,closeadj
XNDX Index,2014-12-13T00:00:00Z,
XNDX Index,2014-12-14T00:00:00Z,
XNDX Index,2014-12-15T00:00:00Z,4547.64
XNDX Index,2014-12-16T00:00:00Z,4473.47
XNDX Index,2014-12-17T00:00:00Z,4556.14
XNDX Index,2014-12-18T00:00:00Z,4668.45
XNDX Index,2014-12-19T00:00:00Z,4683.77
XNDX Index,2014-12-20T00:00:00Z,
XNDX Index,2014-12-21T00:00:00Z,
XNDX Index,2014-12-22T00:00:00Z,4696.78
XNDX Index,2014-12-23T00:00:00Z,4681.45
XNDX Index,2014-12-24T00:00:00Z,4685.6
XNDX Index,2014-12-25T00:00:00Z,
XNDX Index,2014-12-26T00:00:00Z,4719.51
XNDX Index,2014-12-27T00:00:00Z,
XNDX Index,2014-12-28T00:00:00Z,
XNDX Index,2014-12-29T00:00:00Z,4718.16
XNDX Index,2014-12-30T00:00:00Z,4685.11
XNDX Index,2014-12-31T00:00:00Z,4634.71
XNDX Index,2015-01-01T00:00:00Z,
XNDX Index,2015-01-02T00:00:00Z,4629.03
XNDX Index,2015-01-03T00:00:00Z,
XNDX Index,2015-01-04T00:00:00Z,
XNDX Index,2015-01-05T00:00:00Z,4553.78
XNDX Index,2015-01-06T00:00:00Z,4498.91
XNDX Index,2015-01-07T00:00:00Z,4552.84
XNDX Index,2015-01-08T00:00:00Z,4641
XNDX Index,2015-01-09T00:00:00Z,4611.2
XNDX Index,2015-01-10T00:00:00Z,
XNDX Index,2015-01-11T00:00:00Z,
XNDX Index,2015-01-12T00:00:00Z,4563.8
XNDX Index,2015-01-13T00:00:00Z,4559.68
XNDX Index,2015-01-14T00:00:00Z,4537.44
XNDX Index,2015-01-15T00:00:00Z,4475.94
XNDX Index,2015-01-16T00:00:00Z,4533.39
XNDX Index,2015-01-17T00:00:00Z,
XNDX Index,2015-01-18T00:00:00Z,
XNDX Index,2015-01-19T00:00:00Z,
XNDX Index,2015-01-20T00:00:00Z,4565.21
XNDX Index,2015-01-21T00:00:00Z,4588.06
XNDX Index,2015-01-22T00:00:00Z,4673.72
XNDX Index,2015-01-23T00:00:00Z,4682.23
XNDX Index,2015-01-24T00:00:00Z,
XNDX Index,2015-01-25T00:00:00Z,
XNDX Index,2015-01-26T00:00:00Z,4679.58
XNDX Index,2015-01-27T00:00:00Z,4558.96
XNDX Index,2015-01-28T00:00:00Z,4531.88
XNDX Index,2015-01-29T00:00:00Z,4576.86
XNDX Index,2015-01-30T00:00:00Z,4540.83
XNDX Index,2015-01-31T00:00:00Z,
XNDX Index,2015-02-01T00:00:00Z,
XNDX Index,2015-02-02T00:00:00Z,4584.86
XNDX Index,2015-02-03T00:00:00Z,4629.49
XNDX Index,2015-02-04T00:00:00Z,4621.9
XNDX Index,2015-02-05T00:00:00Z,4662.92
XNDX Index,2015-02-06T00:00:00Z,4633.02
XNDX Index,2015-02-07T00:00:00Z,
XNDX Index,2015-02-08T00:00:00Z,
XNDX Index,2015-02-09T00:00:00Z,4619.22
XNDX Index,2015-02-10T00:00:00Z,4691.09
XNDX Index,2015-02-11T00:00:00Z,4709.27
XNDX Index,2015-02-12T00:00:00Z,4764.9
XNDX Index,2015-02-13T00:00:00Z,4804.53
XNDX Index,2015-02-14T00:00:00Z,
XNDX Index,2015-02-15T00:00:00Z,
XNDX Index,2015-02-16T00:00:00Z,
XNDX Index,2015-02-17T00:00:00Z,4808.67
XNDX Index,2015-02-18T00:00:00Z,4814.77
XNDX Index,2015-02-19T00:00:00Z,4837.77
XNDX Index,2015-02-20T00:00:00Z,4871.97
XNDX Index,2015-02-21T00:00:00Z,
XNDX Index,2015-02-22T00:00:00Z,
XNDX Index,2015-02-23T00:00:00Z,4879.03
XNDX Index,2015-02-24T00:00:00Z,4880.86
XNDX Index,2015-02-25T00:00:00Z,4869.62
XNDX Index,2015-02-26T00:00:00Z,4893.46
XNDX Index,2015-02-27T00:00:00Z,4869.77
XNDX Index,2015-02-28T00:00:00Z,
XNDX Index,2015-03-01T00:00:00Z,
XNDX Index,2015-03-02T00:00:00Z,4916.91
XNDX Index,2015-03-03T00:00:00Z,4890.29
XNDX Index,2015-03-04T00:00:00Z,4875.63
XNDX Index,2015-03-05T00:00:00Z,4883.02
XNDX Index,2015-03-06T00:00:00Z,4825.08
XNDX Index,2015-03-07T00:00:00Z,
XNDX Index,2015-03-08T00:00:00Z,
XNDX Index,2015-03-09T00:00:00Z,4840.6
XNDX Index,2015-03-10T00:00:00Z,4748.56
XNDX Index,2015-03-11T00:00:00Z,4722.91
XNDX Index,2015-03-12T00:00:00Z,4756.84
XNDX Index,2015-03-13T00:00:00Z,4733.44
XNDX Index,2015-03-14T00:00:00Z,
XNDX Index,2015-03-15T00:00:00Z,
XNDX Index,2015-03-16T00:00:00Z,4794.4
XNDX Index,2015-03-17T00:00:00Z,4800.06
XNDX Index,2015-03-18T00:00:00Z,4851.57
XNDX Index,2015-03-19T00:00:00Z,4856.31
XNDX Index,2015-03-20T00:00:00Z,4891.1
XNDX Index,2015-03-21T00:00:00Z,
XNDX Index,2015-03-22T00:00:00Z,
XNDX Index,2015-03-23T00:00:00Z,4876.85
XNDX Index,2015-03-24T00:00:00Z,4860.88
XNDX Index,2015-03-25T00:00:00Z,4749.39
XNDX Index,2015-03-26T00:00:00Z,4734.15
XNDX Index,2015-03-27T00:00:00Z,4753.75
XNDX Index,2015-03-28T00:00:00Z,
XNDX Index,2015-03-29T00:00:00Z,
XNDX Index,2015-03-30T00:00:00Z,4809.16
XNDX Index,2015-03-31T00:00:00Z,4756.38
XNDX Index,2015-04-01T00:00:00Z,4731.76
XNDX Index,2015-04-02T00:00:00Z,4736.98
XNDX Index,2015-04-03T00:00:00Z,
XNDX Index,2015-04-04T00:00:00Z,
XNDX Index,2015-04-05T00:00:00Z,
XNDX Index,2015-04-06T00:00:00Z,4775.36
XNDX Index,2015-04-07T00:00:00Z,4767.79
XNDX Index,2015-04-08T00:00:00Z,4803.25
XNDX Index,2015-04-09T00:00:00Z,4833.97
XNDX Index,2015-04-10T00:00:00Z,4853.8
XNDX Index,2015-04-11T00:00:00Z,
XNDX Index,2015-04-12T00:00:00Z,
XNDX Index,2015-04-13T00:00:00Z,4839.74
XNDX Index,2015-04-14T00:00:00Z,4827.05
XNDX Index,2015-04-15T00:00:00Z,4856.56
XNDX Index,2015-04-16T00:00:00Z,4850.3
XNDX Index,2015-04-17T00:00:00Z,4776.72
XNDX Index,2015-04-18T00:00:00Z,
XNDX Index,2015-04-19T00:00:00Z,
XNDX Index,2015-04-20T00:00:00Z,4848.73
XNDX Index,2015-04-21T00:00:00Z,4869.12
XNDX Index,2015-04-22T00:00:00Z,4896.38
XNDX Index,2015-04-23T00:00:00Z,4914.22
XNDX Index,2015-04-24T00:00:00Z,4979.84
XNDX Index,2015-04-25T00:00:00Z,
XNDX Index,2015-04-26T00:00:00Z,
XNDX Index,2015-04-27T00:00:00Z,4966.95
XNDX Index,2015-04-28T00:00:00Z,4956.57
XNDX Index,2015-04-29T00:00:00Z,4927.14
XNDX Index,2015-04-30T00:00:00Z,4846.14
XNDX Index,2015-05-01T00:00:00Z,4917.29
XNDX Index,2015-05-02T00:00:00Z,
XNDX Index,2015-05-03T00:00:00Z,
XNDX Index,2015-05-04T00:00:00Z,4921.19
XNDX Index,2015-05-05T00:00:00Z,4842.12
XNDX Index,2015-05-06T00:00:00Z,4809.56
XNDX Index,2015-05-07T00:00:00Z,4836.62
XNDX Index,2015-05-08T00:00:00Z,4899.37
XNDX Index,2015-05-09T00:00:00Z,
XNDX Index,2015-05-10T00:00:00Z,
XNDX Index,2015-05-11T00:00:00Z,4877.45
XNDX Index,2015-05-12T00:00:00Z,4858.25
XNDX Index,2015-05-13T00:00:00Z,4864.82
XNDX Index,2015-05-14T00:00:00Z,4940.18
XNDX Index,2015-05-15T00:00:00Z,4939.44
XNDX Index,2015-05-16T00:00:00Z,
XNDX Index,2015-05-17T00:00:00Z,
XNDX Index,2015-05-18T00:00:00Z,4959.94
XNDX Index,2015-05-19T00:00:00Z,4952.74
XNDX Index,2015-05-20T00:00:00Z,4954.67
XNDX Index,2015-05-21T00:00:00Z,4981.25
XNDX Index,2015-05-22T00:00:00Z,4978.71
XNDX Index,2015-05-23T00:00:00Z,
XNDX Index,2015-05-24T00:00:00Z,
XNDX Index,2015-05-25T00:00:00Z,
XNDX Index,2015-05-26T00:00:00Z,4919.21
XNDX Index,2015-05-27T00:00:00Z,4999.79
XNDX Index,2015-05-28T00:00:00Z,4988.44
XNDX Index,2015-05-29T00:00:00Z,4958.3
XNDX Index,2015-05-30T00:00:00Z,
XNDX Index,2015-05-31T00:00:00Z,
XNDX Index,2015-06-01T00:00:00Z,4974.01
XNDX Index,2015-06-02T00:00:00Z,4959.75
XNDX Index,2015-06-03T00:00:00Z,4971.88
XNDX Index,2015-06-04T00:00:00Z,4935.77
XNDX Index,2015-06-05T00:00:00Z,4924.98
XNDX Index,2015-06-06T00:00:00Z,
XNDX Index,2015-06-07T00:00:00Z,
XNDX Index,2015-06-08T00:00:00Z,4874.89
XNDX Index,2015-06-09T00:00:00Z,4870.59
XNDX Index,2015-06-10T00:00:00Z,4934.94
XNDX Index,2015-06-11T00:00:00Z,4938.39
XNDX Index,2015-06-12T00:00:00Z,4900.94
XNDX Index,2015-06-13T00:00:00Z,
XNDX Index,2015-06-14T00:00:00Z,
XNDX Index,2015-06-15T00:00:00Z,4877.96
XNDX Index,2015-06-16T00:00:00Z,4903.25
XNDX Index,2015-06-17T00:00:00Z,4917.75
XNDX Index,2015-06-18T00:00:00Z,4986.93
XNDX Index,2015-06-19T00:00:00Z,4966.65
XNDX Index,2015-06-20T00:00:00Z,
XNDX Index,2015-06-21T00:00:00Z,
XNDX Index,2015-06-22T00:00:00Z,5000.34
XNDX Index,2015-06-23T00:00:00Z,5005.52
XNDX Index,2015-06-24T00:00:00Z,4979.02
XNDX Index,2015-06-25T00:00:00Z,4967.37
XNDX Index,2015-06-26T00:00:00Z,4934.93
XNDX Index,2015-06-27T00:00:00Z,
XNDX Index,2015-06-28T00:00:00Z,
XNDX Index,2015-06-29T00:00:00Z,4820.62
XNDX Index,2015-06-30T00:00:00Z,4839.38
XNDX Index,2015-07-01T00:00:00Z,4876.13
XNDX Index,2015-07-02T00:00:00Z,4880.72
XNDX Index,2015-07-03T00:00:00Z,
XNDX Index,2015-07-04T00:00:00Z,
XNDX Index,2015-07-05T00:00:00Z,
XNDX Index,2015-07-06T00:00:00Z,4864.5
XNDX Index,2015-07-07T00:00:00Z,4875.95
XNDX Index,2015-07-08T00:00:00Z,4790.77
XNDX Index,2015-07-09T00:00:00Z,4791.27
XNDX Index,2015-07-10T00:00:00Z,4866.27
XNDX Index,2015-07-11T00:00:00Z,
XNDX Index,2015-07-12T00:00:00Z,
XNDX Index,2015-07-13T00:00:00Z,4948.08
XNDX Index,2015-07-14T00:00:00Z,4980.01
XNDX Index,2015-07-15T00:00:00Z,4985.39
XNDX Index,2015-07-16T00:00:00Z,5058.65
XNDX Index,2015-07-17T00:00:00Z,5132.08
XNDX Index,2015-07-18T00:00:00Z,
XNDX Index,2015-07-19T00:00:00Z,
XNDX Index,2015-07-20T00:00:00Z,5151.98
XNDX Index,2015-07-21T00:00:00Z,5146.18
XNDX Index,2015-07-22T00:00:00Z,5089.85
XNDX Index,2015-07-23T00:00:00Z,5068.02
XNDX Index,2015-07-24T00:00:00Z,5018.05
XNDX Index,2015-07-25T00:00:00Z,
XNDX Index,2015-07-26T00:00:00Z,
XNDX Index,2015-07-27T00:00:00Z,4975.9
XNDX Index,2015-07-28T00:00:00Z,5021.2
XNDX Index,2015-07-29T00:00:00Z,5045.07
XNDX Index,2015-07-30T00:00:00Z,5063.98
XNDX Index,2015-07-31T00:00:00Z,5053.31
XNDX Index,2015-08-01T00:00:00Z,
XNDX Index,2015-08-02T00:00:00Z,
XNDX Index,2015-08-03T00:00:00Z,5044.02
XNDX Index,2015-08-04T00:00:00Z,5030.06
XNDX Index,2015-08-05T00:00:00Z,5069.45
XNDX Index,2015-08-06T00:00:00Z,4991.22
XNDX Index,2015-08-07T00:00:00Z,4982.15
XNDX Index,2015-08-08T00:00:00Z,
XNDX Index,2015-08-09T00:00:00Z,
XNDX Index,2015-08-10T00:00:00Z,5040.6
XNDX Index,2015-08-11T00:00:00Z,4975.44
XNDX Index,2015-08-12T00:00:00Z,4991.41
XNDX Index,2015-08-13T00:00:00Z,4982.31
XNDX Index,2015-08-14T00:00:00Z,4994.9
XNDX Index,2015-08-15T00:00:00Z,
XNDX Index,2015-08-16T00:00:00Z,
XNDX Index,2015-08-17T00:00:00Z,5034.56
XNDX Index,2015-08-18T00:00:00Z,5010.41
XNDX Index,2015-08-19T00:00:00Z,4976.03
XNDX Index,2015-08-20T00:00:00Z,4837.29
XNDX Index,2015-08-21T00:00:00Z,4630.06
XNDX Index,2015-08-22T00:00:00Z,
XNDX Index,2015-08-23T00:00:00Z,
XNDX Index,2015-08-24T00:00:00Z,4455.25
XNDX Index,2015-08-25T00:00:00Z,4430.78
XNDX Index,2015-08-26T00:00:00Z,4655.23
XNDX Index,2015-08-27T00:00:00Z,4771.31
XNDX Index,2015-08-28T00:00:00Z,4776.06
XNDX Index,2015-08-29T00:00:00Z,
XNDX Index,2015-08-30T00:00:00Z,
XNDX Index,2015-08-31T00:00:00Z,4716.64
XNDX Index,2015-09-01T00:00:00Z,4571.05
XNDX Index,2015-09-02T00:00:00Z,4696.49
XNDX Index,2015-09-03T00:00:00Z,4672.68
XNDX Index,2015-09-04T00:00:00Z,4617.93
XNDX Index,2015-09-05T00:00:00Z,
XNDX Index,2015-09-06T00:00:00Z,
XNDX Index,2015-09-07T00:00:00Z,
XNDX Index,2015-09-08T00:00:00Z,4749.03
XNDX Index,2015-09-09T00:00:00Z,4693.99
XNDX Index,2015-09-10T00:00:00Z,4741.28
XNDX Index,2015-09-11T00:00:00Z,4771.23
XNDX Index,2015-09-12T00:00:00Z,
XNDX Index,2015-09-13T00:00:00Z,
XNDX Index,2015-09-14T00:00:00Z,4755.87
XNDX Index,2015-09-15T00:00:00Z,4812.73
XNDX Index,2015-09-16T00:00:00Z,4838.65
XNDX Index,2015-09-17T00:00:00Z,4840.08
XNDX Index,2015-09-18T00:00:00Z,4772.63
XNDX Index,2015-09-19T00:00:00Z,
XNDX Index,2015-09-20T00:00:00Z,
XNDX Index,2015-09-21T00:00:00Z,4786.18
XNDX Index,2015-09-22T00:00:00Z,4717.71
XNDX Index,2015-09-23T00:00:00Z,4717.16
XNDX Index,2015-09-24T00:00:00Z,4703.44
XNDX Index,2015-09-25T00:00:00Z,4663.34
XNDX Index,2015-09-26T00:00:00Z,
XNDX Index,2015-09-27T00:00:00Z,
XNDX Index,2015-09-28T00:00:00Z,4529.75
XNDX Index,2015-09-29T00:00:00Z,4507.56
XNDX Index,2015-09-30T00:00:00Z,4615.55
XNDX Index,2015-10-01T00:00:00Z,4629.73
XNDX Index,2015-10-02T00:00:00Z,4711.97
XNDX Index,2015-10-03T00:00:00Z,
XNDX Index,2015-10-04T00:00:00Z,
XNDX Index,2015-10-05T00:00:00Z,4783.22
XNDX Index,2015-10-06T00:00:00Z,4755.91
XNDX Index,2015-10-07T00:00:00Z,4785.6
XNDX Index,2015-10-08T00:00:00Z,4804.02
XNDX Index,2015-10-09T00:00:00Z,4825.95
XNDX Index,2015-10-10T00:00:00Z,
XNDX Index,2015-10-11T00:00:00Z,
XNDX Index,2015-10-12T00:00:00Z,4839.82
XNDX Index,2015-10-13T00:00:00Z,4807.1
XNDX Index,2015-10-14T00:00:00Z,4800.46
XNDX Index,2015-10-15T00:00:00Z,4879.2
XNDX Index,2015-10-16T00:00:00Z,4901.73
XNDX Index,2015-10-17T00:00:00Z,
XNDX Index,2015-10-18T00:00:00Z,
XNDX Index,2015-10-19T00:00:00Z,4927.62
XNDX Index,2015-10-20T00:00:00Z,4901.24
XNDX Index,2015-10-21T00:00:00Z,4874.01
XNDX Index,2015-10-22T00:00:00Z,4973.06
XNDX Index,2015-10-23T00:00:00Z,5106.62
XNDX Index,2015-10-24T00:00:00Z,
XNDX Index,2015-10-25T00:00:00Z,
XNDX Index,2015-10-26T00:00:00Z,5114.08
XNDX Index,2015-10-27T00:00:00Z,5123.35
XNDX Index,2015-10-28T00:00:00Z,5167.17
XNDX Index,2015-10-29T00:00:00Z,5158.69
XNDX Index,2015-10-30T00:00:00Z,5134.47
XNDX Index,2015-10-31T00:00:00Z,
XNDX Index,2015-11-01T00:00:00Z,
XNDX Index,2015-11-02T00:00:00Z,5195.3
XNDX Index,2015-11-03T00:00:00Z,5212.17
XNDX Index,2015-11-04T00:00:00Z,5211.8
XNDX Index,2015-11-05T00:00:00Z,5198.47
XNDX Index,2015-11-06T00:00:00Z,5203.26
XNDX Index,2015-11-07T00:00:00Z,
XNDX Index,2015-11-08T00:00:00Z,
XNDX Index,2015-11-09T00:00:00Z,5146.43
XNDX Index,2015-11-10T00:00:00Z,5131.51
XNDX Index,2015-11-11T00:00:00Z,5126.22
XNDX Index,2015-11-12T00:00:00Z,5074.88
XNDX Index,2015-11-13T00:00:00Z,4978.89
XNDX Index,2015-11-14T00:00:00Z,
XNDX Index,2015-11-15T00:00:00Z,
XNDX Index,2015-11-16T00:00:00Z,5048.93
XNDX Index,2015-11-17T00:00:00Z,5052.43
XNDX Index,2015-11-18T00:00:00Z,5149.67
XNDX Index,2015-11-19T00:00:00Z,5151.94
XNDX Index,2015-11-20T00:00:00Z,5186.25
XNDX Index,2015-11-21T00:00:00Z,
XNDX Index,2015-11-22T00:00:00Z,
XNDX Index,2015-11-23T00:00:00Z,5173.58
XNDX Index,2015-11-24T00:00:00Z,5167.62
XNDX Index,2015-11-25T00:00:00Z,5171.46
XNDX Index,2015-11-26T00:00:00Z,
XNDX Index,2015-11-27T00:00:00Z,5180.65
XNDX Index,2015-11-28T00:00:00Z,
XNDX Index,2015-11-29T00:00:00Z,
XNDX Index,2015-11-30T00:00:00Z,5162.99
XNDX Index,2015-12-01T00:00:00Z,5220.16
XNDX Index,2015-12-02T00:00:00Z,5187.14
XNDX Index,2015-12-03T00:00:00Z,5099.18
XNDX Index,2015-12-04T00:00:00Z,5220.23
XNDX Index,2015-12-05T00:00:00Z,
XNDX Index,2015-12-06T00:00:00Z,
XNDX Index,2015-12-07T00:00:00Z,5195.42
XNDX Index,2015-12-08T00:00:00Z,5196.69
XNDX Index,2015-12-09T00:00:00Z,5116.54
XNDX Index,2015-12-10T00:00:00Z,5139.74
XNDX Index,2015-12-11T00:00:00Z,5023.2
XNDX Index,2015-12-12T00:00:00Z,
XNDX Index,2015-12-13T00:00:00Z,
XNDX Index,2015-12-14T00:00:00Z,5059.89
XNDX Index,2015-12-15T00:00:00Z,5089.98
XNDX Index,2015-12-16T00:00:00Z,5164.53
XNDX Index,2015-12-17T00:00:00Z,5090.98
XNDX Index,2015-12-18T00:00:00Z,4998.74
XNDX Index,2015-12-19T00:00:00Z,
XNDX Index,2015-12-20T00:00:00Z,
XNDX Index,2015-12-21T00:00:00Z,5050.04
XNDX Index,2015-12-22T00:00:00Z,5081.82
XNDX Index,2015-12-23T00:00:00Z,5120.95
XNDX Index,2015-12-24T00:00:00Z,5118.94
XNDX Index,2015-12-25T00:00:00Z,
XNDX Index,2015-12-26T00:00:00Z,
XNDX Index,2015-12-27T00:00:00Z,
XNDX Index,2015-12-28T00:00:00Z,5117.36
XNDX Index,2015-12-29T00:00:00Z,5194.94
XNDX Index,2015-12-30T00:00:00Z,5151.68
XNDX Index,2015-12-31T00:00:00Z,5086.63
XNDX Index,2016-01-01T00:00:00Z,
XNDX Index,2016-01-02T00:00:00Z,
XNDX Index,2016-01-03T00:00:00Z,
XNDX Index,2016-01-04T00:00:00Z,4982.58
XNDX Index,2016-01-05T00:00:00Z,4967.43
XNDX Index,2016-01-06T00:00:00Z,4922.96
XNDX Index,2016-01-07T00:00:00Z,4769.87
XNDX Index,2016-01-08T00:00:00Z,4731.16
XNDX Index,2016-01-09T00:00:00Z,
XNDX Index,2016-01-10T00:00:00Z,
XNDX Index,2016-01-11T00:00:00Z,4745.3
XNDX Index,2016-01-12T00:00:00Z,4800.88
XNDX Index,2016-01-13T00:00:00Z,4634.09
XNDX Index,2016-01-14T00:00:00Z,4733.63
XNDX Index,2016-01-15T00:00:00Z,4587.52
XNDX Index,2016-01-16T00:00:00Z,
XNDX Index,2016-01-17T00:00:00Z,
XNDX Index,2016-01-18T00:00:00Z,
XNDX Index,2016-01-19T00:00:00Z,4594.16
XNDX Index,2016-01-20T00:00:00Z,4582.21
XNDX Index,2016-01-21T00:00:00Z,4589.21
XNDX Index,2016-01-22T00:00:00Z,4719.01
XNDX Index,2016-01-23T00:00:00Z,
XNDX Index,2016-01-24T00:00:00Z,
XNDX Index,2016-01-25T00:00:00Z,4648.95
XNDX Index,2016-01-26T00:00:00Z,4690.29
XNDX Index,2016-01-27T00:00:00Z,4574.07
XNDX Index,2016-01-28T00:00:00Z,4637.95
